experiment_id,transcript_id,model_name,technique_name,name_en,human_evaluator_score,human_evaluator_comments
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","",""
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","",""
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","",""
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","",""
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","",""
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","",""
"6","6","Llama 3.2 3B Instruct","zero-shot","","",""
"6","6","Llama 3.2 3B Instruct","zero-shot","","",""
"6","6","Llama 3.2 3B Instruct","zero-shot","","",""
"6","6","Llama 3.2 3B Instruct","zero-shot","","",""
"6","6","Llama 3.2 3B Instruct","zero-shot","","",""
"12","12","Llama 3.2 3B Instruct","zero-shot","coconut milk rice","",""
"12","12","Llama 3.2 3B Instruct","zero-shot","jaggery","",""
"12","12","Llama 3.2 3B Instruct","zero-shot","pigeon peas","",""
"12","12","Llama 3.2 3B Instruct","zero-shot","fried chicken","",""
"12","12","Llama 3.2 3B Instruct","zero-shot","peanut sauce","",""
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic","",""
"13","13","Llama 3.2 3B Instruct","zero-shot","Palm Leaves (Betel Leaves)","",""
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Palm Sugar","",""
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Lime","",""
"13","13","Llama 3.2 3B Instruct","zero-shot","Sweet Soy Sauce","",""
"13","13","Llama 3.2 3B Instruct","zero-shot","Garlic Clove","",""
"13","13","Llama 3.2 3B Instruct","zero-shot","Teriyaki Sauce","",""
"13","13","Llama 3.2 3B Instruct","zero-shot","White Rice","",""
"14","14","Llama 3.2 3B Instruct","zero-shot","","",""
"14","14","Llama 3.2 3B Instruct","zero-shot","","",""
"14","14","Llama 3.2 3B Instruct","zero-shot","","",""
"14","14","Llama 3.2 3B Instruct","zero-shot","","",""
"14","14","Llama 3.2 3B Instruct","zero-shot","","",""
"14","14","Llama 3.2 3B Instruct","zero-shot","","",""
"17","17","Llama 3.2 3B Instruct","zero-shot","","",""
"20","20","Llama 3.2 3B Instruct","zero-shot","coconut rice","",""
"20","20","Llama 3.2 3B Instruct","zero-shot","green beans","",""
"20","20","Llama 3.2 3B Instruct","zero-shot","tempeh","",""
"20","20","Llama 3.2 3B Instruct","zero-shot","chicken meat","",""
"20","20","Llama 3.2 3B Instruct","zero-shot","garlic","",""
"20","20","Llama 3.2 3B Instruct","zero-shot","bay leaves","",""
"21","21","Llama 3.2 3B Instruct","zero-shot","","",""
"21","21","Llama 3.2 3B Instruct","zero-shot","","",""
"21","21","Llama 3.2 3B Instruct","zero-shot","","",""
"21","21","Llama 3.2 3B Instruct","zero-shot","","",""
"25","25","Llama 3.2 3B Instruct","zero-shot","Spinach","",""
"25","25","Llama 3.2 3B Instruct","zero-shot","Chicken Breast","",""
"25","25","Llama 3.2 3B Instruct","zero-shot","Garlic","",""
"25","25","Llama 3.2 3B Instruct","zero-shot","Black Pepper","",""
"27","27","Llama 3.2 3B Instruct","zero-shot","","",""
"27","27","Llama 3.2 3B Instruct","zero-shot","","",""
"27","27","Llama 3.2 3B Instruct","zero-shot","","",""
"27","27","Llama 3.2 3B Instruct","zero-shot","","",""
"27","27","Llama 3.2 3B Instruct","zero-shot","","",""
"34","34","Llama 3.2 3B Instruct","zero-shot","","",""
"34","34","Llama 3.2 3B Instruct","zero-shot","","",""
"34","34","Llama 3.2 3B Instruct","zero-shot","","",""
"34","34","Llama 3.2 3B Instruct","zero-shot","","",""
"34","34","Llama 3.2 3B Instruct","zero-shot","","",""
"34","34","Llama 3.2 3B Instruct","zero-shot","","",""
"34","34","Llama 3.2 3B Instruct","zero-shot","","",""
"34","34","Llama 3.2 3B Instruct","zero-shot","","",""
"35","35","Llama 3.2 3B Instruct","zero-shot","","",""
"35","35","Llama 3.2 3B Instruct","zero-shot","","",""
"35","35","Llama 3.2 3B Instruct","zero-shot","","",""
"35","35","Llama 3.2 3B Instruct","zero-shot","","",""
"35","35","Llama 3.2 3B Instruct","zero-shot","","",""
"35","35","Llama 3.2 3B Instruct","zero-shot","","",""
"37","37","Llama 3.2 3B Instruct","zero-shot","","",""
"37","37","Llama 3.2 3B Instruct","zero-shot","","",""
"37","37","Llama 3.2 3B Instruct","zero-shot","Beef","",""
"37","37","Llama 3.2 3B Instruct","zero-shot","","",""
"37","37","Llama 3.2 3B Instruct","zero-shot","","",""
"37","37","Llama 3.2 3B Instruct","zero-shot","","",""
"40","40","Llama 3.2 3B Instruct","zero-shot","Chicken","",""
"40","40","Llama 3.2 3B Instruct","zero-shot","Red Onion","",""
"40","40","Llama 3.2 3B Instruct","zero-shot","Green Peas","",""
"40","40","Llama 3.2 3B Instruct","zero-shot","Fresh Coriander","",""
"40","40","Llama 3.2 3B Instruct","zero-shot","Black Pepper","",""
"40","40","Llama 3.2 3B Instruct","zero-shot","Palm Sugar Oil","",""
"43","43","Llama 3.2 3B Instruct","zero-shot","","",""
"43","43","Llama 3.2 3B Instruct","zero-shot","","",""
"43","43","Llama 3.2 3B Instruct","zero-shot","","",""
"44","44","Llama 3.2 3B Instruct","zero-shot","","",""
"45","45","Llama 3.2 3B Instruct","zero-shot","Jaggery","",""
"45","45","Llama 3.2 3B Instruct","zero-shot","Black pepper","",""
"45","45","Llama 3.2 3B Instruct","zero-shot","Garlic","",""
"45","45","Llama 3.2 3B Instruct","zero-shot","Ground cinnamon","",""
"45","45","Llama 3.2 3B Instruct","zero-shot","Cinnamon bark","",""
"45","45","Llama 3.2 3B Instruct","zero-shot","Pandan seeds","",""
"45","45","Llama 3.2 3B Instruct","zero-shot","Coconut milk","",""
"45","45","Llama 3.2 3B Instruct","zero-shot","Chicken egg","",""
"48","48","Llama 3.2 3B Instruct","zero-shot","Coconut rice","",""
"48","48","Llama 3.2 3B Instruct","zero-shot","Sambal sauce","",""
"48","48","Llama 3.2 3B Instruct","zero-shot","Dried anchovies","",""
"48","48","Llama 3.2 3B Instruct","zero-shot","Fermented rice","",""
"51","1","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","milkfish","",""
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","rice noodles","",""
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","grilled chicken breast, medium size (140 grams)","",""
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","white sugar, powdered (approx. tablespoon)","",""
"54","4","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"55","5","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"57","7","Phi-4-mini 3.8B Instruct","zero-shot","","",""
"58","8","Phi-4-mini 3.8B Instruct","zero-shot","","",""
