experiment_id,transcript_id,model_name,technique_name,json_valid,pred_count,total_calories,serving_calories,servings_estimated
"1","1","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"2","2","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"3","3","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"4","4","Llama 3.2 3B Instruct","zero-shot","1","6","560.0","250.0","4"
"5","5","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"6","6","Llama 3.2 3B Instruct","zero-shot","1","5","930.0","420.0","4"
"7","7","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"10","10","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"11","11","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"12","12","Llama 3.2 3B Instruct","zero-shot","1","5","1400.0","350.0","4"
"13","13","Llama 3.2 3B Instruct","zero-shot","1","8","2848.9","1145.2","4"
"14","14","Llama 3.2 3B Instruct","zero-shot","1","6","4200.0","1800.0","4"
"15","15","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"16","16","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"17","17","Llama 3.2 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"18","18","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"19","19","Llama 3.2 3B Instruct","zero-shot","1","0","0.0","0.0","0"
"20","20","Llama 3.2 3B Instruct","zero-shot","1","6","2651.8","250.8","4"
"21","21","Llama 3.2 3B Instruct","zero-shot","1","4","1622.7","112.5","4"
"22","22","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"23","23","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"24","24","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"25","25","Llama 3.2 3B Instruct","zero-shot","1","4","1058.7","250.0","4"
"26","26","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"27","27","Llama 3.2 3B Instruct","zero-shot","1","5","10852.9","1231.2","4"
"28","28","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"29","29","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"30","30","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"31","31","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"32","32","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"33","33","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"34","34","Llama 3.2 3B Instruct","zero-shot","1","8","0.0","0.0","2"
"35","35","Llama 3.2 3B Instruct","zero-shot","1","6","112.9","112.9","4"
"36","36","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"37","37","Llama 3.2 3B Instruct","zero-shot","1","6","3351.9","1045.6","4"
"38","38","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"39","39","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"40","40","Llama 3.2 3B Instruct","zero-shot","1","6","3582.3","1420.8","4"
"41","41","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"42","42","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"43","43","Llama 3.2 3B Instruct","zero-shot","1","3","135.8","135.8","4"
"44","44","Llama 3.2 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"45","45","Llama 3.2 3B Instruct","zero-shot","1","8","1416.0","510.5","4"
"46","46","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"47","47","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"48","48","Llama 3.2 3B Instruct","zero-shot","1","4","124.0","124.0","4"
"49","49","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"50","50","Llama 3.2 3B Instruct","zero-shot","0","0","0.0","0.0","0"
"51","1","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","4"
"52","2","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","1","4","409.7","180.5","4"
"54","4","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","4"
"55","5","Phi-4-mini 3.8B Instruct","zero-shot","1","1","200.0","200.0","4"
"56","6","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"57","7","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","0"
"58","8","Phi-4-mini 3.8B Instruct","zero-shot","1","1","250.5","250.5","4"
"59","9","Phi-4-mini 3.8B Instruct","zero-shot","1","1","1000.0","500.0","4"
"60","10","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","1","4","583.3","250.5","4"
"62","12","Phi-4-mini 3.8B Instruct","zero-shot","1","1","3200.0","800.0","4"
"63","13","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"64","14","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","0"
"65","15","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","4"
"66","16","Phi-4-mini 3.8B Instruct","zero-shot","1","1","1001.2","250.6","4"
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","1","4","653.0","450.5","4"
"68","18","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"69","19","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"70","20","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","500.0","4"
"71","21","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"72","22","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"73","23","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"74","24","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"75","25","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"76","26","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"77","27","Phi-4-mini 3.8B Instruct","zero-shot","1","1","1001.0","250.5","4"
"78","28","Phi-4-mini 3.8B Instruct","zero-shot","1","1","350.5","350.5","4"
"79","29","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"80","30","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"81","31","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","0"
"82","32","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"83","33","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"84","34","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","4"
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","1","4","656.5","350.0","4"
"86","36","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","0"
"87","37","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"88","38","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"89","39","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"90","40","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"91","41","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"92","42","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"93","43","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"94","44","Phi-4-mini 3.8B Instruct","zero-shot","1","1","800.0","200.0","4"
"95","45","Phi-4-mini 3.8B Instruct","zero-shot","0","0","0.0","0.0","0"
"96","46","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","4"
"97","47","Phi-4-mini 3.8B Instruct","zero-shot","1","1","0.0","0.0","0"
"98","48","Phi-4-mini 3.8B Instruct","zero-shot","1","0","0.0","0.0","0"
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","1","4","387.4","200.0","4"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","1","8","93.5","0.0","4"
"101","1","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"102","2","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"103","3","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"104","4","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"105","5","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"106","6","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"107","7","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"108","8","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"109","9","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"110","10","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"111","11","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"112","12","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"113","13","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"114","14","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"115","15","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"116","16","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"117","17","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"118","18","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"119","19","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"120","20","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"121","21","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"122","22","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"123","23","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"124","24","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"125","25","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"126","26","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"127","27","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"128","28","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"129","29","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
"130","30","Qwen 2.5 3B Instruct","zero-shot","1","1","0.0","0.0","0"
