experiment_id,transcript_id,model_name,technique_name,name_en,calories,protein_g,total_fat_g,total_carbohydrate_g,calories,protein_g,total_fat_g,total_carbohydrate_g
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","404.2","10.5","0.5","91.9"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","322.7","0.4","36.5","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","14.8","0.5","0.1","3.4"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","215.5","19.0","14.5","2.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","48.3","2.5","2.6","3.8"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","125.0","13.0","7.5","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","12.0","0.3","0.4","1.8"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","14.6","1.3","0.3","2.5"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","49.6","2.5","0.1","10.9"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","10.0","0.5","0.0","1.5"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","140.0","3.6","1.4","31.0","150.0","11.1","11.2","1.1"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","404.2","10.5","0.5","91.9"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","322.7","0.4","36.5","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","14.8","0.5","0.1","3.4"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","215.5","19.0","14.5","2.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","48.3","2.5","2.6","3.8"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","125.0","13.0","7.5","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","12.0","0.3","0.4","1.8"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","14.6","1.3","0.3","2.5"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","49.6","2.5","0.1","10.9"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","10.0","0.5","0.0","1.5"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","140.0","30.0","8.0","0.0","150.0","11.1","11.2","1.1"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","404.2","10.5","0.5","91.9"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","322.7","0.4","36.5","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","14.8","0.5","0.1","3.4"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","215.5","19.0","14.5","2.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","48.3","2.5","2.6","3.8"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","0.0","0.0","0.0","0.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","10.0","0.3","0.1","2.4","125.0","13.0","7.5","0.0"
