experiment_id,transcript_id,model_name,technique_name,total_calories,total_protein_g,total_fat_g,total_carbohydrate_g,serving_calories,servings_estimated
"1","1","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"2","2","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"3","3","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"4","4","Llama 3.2 3B Instruct","zero-shot","560.0","42.9","41.8","64.4","250.0","4"
"5","5","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"6","6","Llama 3.2 3B Instruct","zero-shot","930.0","58.5","91.0","119.5","420.0","4"
"7","7","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"10","10","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"11","11","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"12","12","Llama 3.2 3B Instruct","zero-shot","1400.0","65.0","67.0","225.0","350.0","4"
"13","13","Llama 3.2 3B Instruct","zero-shot","2848.9","59.9","158.3","278.2","1145.2","4"
"14","14","Llama 3.2 3B Instruct","zero-shot","4200.0","100.0","50.6","60.0","1800.0","4"
"15","15","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"16","16","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"17","17","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"18","18","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"19","19","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"20","20","Llama 3.2 3B Instruct","zero-shot","2651.8","111.6","58.3","463.4","250.8","4"
"21","21","Llama 3.2 3B Instruct","zero-shot","1622.7","67.2","90.6","99.3","112.5","4"
"22","22","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"23","23","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
"24","24","Llama 3.2 3B Instruct","zero-shot","0.0","0.0","0.0","0.0","0.0","0"
