experiment_id,transcript_id,model_name,technique_name,pred_ingredient_count,gt_ingredient_count
"4","4","Llama 3.2 3B Instruct","zero-shot","6","15"
"6","6","Llama 3.2 3B Instruct","zero-shot","5","8"
"12","12","Llama 3.2 3B Instruct","zero-shot","5","12"
"13","13","Llama 3.2 3B Instruct","zero-shot","8","5"
"14","14","Llama 3.2 3B Instruct","zero-shot","6","8"
"17","17","Llama 3.2 3B Instruct","zero-shot","1","7"
"20","20","Llama 3.2 3B Instruct","zero-shot","6","7"
"21","21","Llama 3.2 3B Instruct","zero-shot","4","15"
"25","25","Llama 3.2 3B Instruct","zero-shot","4","15"
"27","27","Llama 3.2 3B Instruct","zero-shot","5","8"
"34","34","Llama 3.2 3B Instruct","zero-shot","8","13"
"35","35","Llama 3.2 3B Instruct","zero-shot","6","9"
"37","37","Llama 3.2 3B Instruct","zero-shot","6","10"
"40","40","Llama 3.2 3B Instruct","zero-shot","6","22"
"43","43","Llama 3.2 3B Instruct","zero-shot","3","9"
"44","44","Llama 3.2 3B Instruct","zero-shot","1","17"
"45","45","Llama 3.2 3B Instruct","zero-shot","8","14"
"48","48","Llama 3.2 3B Instruct","zero-shot","4","4"
"51","1","Phi-4-mini 3.8B Instruct","zero-shot","1","9"
"53","3","Phi-4-mini 3.8B Instruct","zero-shot","4","19"
"54","4","Phi-4-mini 3.8B Instruct","zero-shot","1","15"
"55","5","Phi-4-mini 3.8B Instruct","zero-shot","1","12"
"57","7","Phi-4-mini 3.8B Instruct","zero-shot","1","15"
"58","8","Phi-4-mini 3.8B Instruct","zero-shot","1","9"
"59","9","Phi-4-mini 3.8B Instruct","zero-shot","1","20"
"61","11","Phi-4-mini 3.8B Instruct","zero-shot","4","25"
"62","12","Phi-4-mini 3.8B Instruct","zero-shot","1","12"
"64","14","Phi-4-mini 3.8B Instruct","zero-shot","1","8"
"65","15","Phi-4-mini 3.8B Instruct","zero-shot","1","15"
"66","16","Phi-4-mini 3.8B Instruct","zero-shot","1","10"
"67","17","Phi-4-mini 3.8B Instruct","zero-shot","4","7"
"77","27","Phi-4-mini 3.8B Instruct","zero-shot","1","8"
"78","28","Phi-4-mini 3.8B Instruct","zero-shot","1","10"
"81","31","Phi-4-mini 3.8B Instruct","zero-shot","1","17"
"84","34","Phi-4-mini 3.8B Instruct","zero-shot","1","13"
"85","35","Phi-4-mini 3.8B Instruct","zero-shot","4","9"
"86","36","Phi-4-mini 3.8B Instruct","zero-shot","1","18"
"94","44","Phi-4-mini 3.8B Instruct","zero-shot","1","17"
"96","46","Phi-4-mini 3.8B Instruct","zero-shot","1","5"
"97","47","Phi-4-mini 3.8B Instruct","zero-shot","1","20"
"99","49","Phi-4-mini 3.8B Instruct","zero-shot","4","13"
"100","50","Phi-4-mini 3.8B Instruct","zero-shot","8","13"
"101","1","Qwen 2.5 3B Instruct","zero-shot","1","9"
"102","2","Qwen 2.5 3B Instruct","zero-shot","1","14"
"103","3","Qwen 2.5 3B Instruct","zero-shot","1","19"
"104","4","Qwen 2.5 3B Instruct","zero-shot","1","15"
"105","5","Qwen 2.5 3B Instruct","zero-shot","1","12"
"106","6","Qwen 2.5 3B Instruct","zero-shot","1","8"
"107","7","Qwen 2.5 3B Instruct","zero-shot","1","15"
"108","8","Qwen 2.5 3B Instruct","zero-shot","1","9"
"109","9","Qwen 2.5 3B Instruct","zero-shot","1","20"
"110","10","Qwen 2.5 3B Instruct","zero-shot","1","13"
"111","11","Qwen 2.5 3B Instruct","zero-shot","1","25"
"112","12","Qwen 2.5 3B Instruct","zero-shot","1","12"
"113","13","Qwen 2.5 3B Instruct","zero-shot","1","5"
"114","14","Qwen 2.5 3B Instruct","zero-shot","1","8"
"115","15","Qwen 2.5 3B Instruct","zero-shot","1","15"
"116","16","Qwen 2.5 3B Instruct","zero-shot","1","10"
"117","17","Qwen 2.5 3B Instruct","zero-shot","1","7"
"118","18","Qwen 2.5 3B Instruct","zero-shot","1","7"
"119","19","Qwen 2.5 3B Instruct","zero-shot","1","3"
"120","20","Qwen 2.5 3B Instruct","zero-shot","1","7"
"121","21","Qwen 2.5 3B Instruct","zero-shot","1","15"
"122","22","Qwen 2.5 3B Instruct","zero-shot","1","12"
"123","23","Qwen 2.5 3B Instruct","zero-shot","1","5"
"124","24","Qwen 2.5 3B Instruct","zero-shot","1","7"
"125","25","Qwen 2.5 3B Instruct","zero-shot","1","15"
"126","26","Qwen 2.5 3B Instruct","zero-shot","1","20"
"127","27","Qwen 2.5 3B Instruct","zero-shot","1","8"
"128","28","Qwen 2.5 3B Instruct","zero-shot","1","10"
"129","29","Qwen 2.5 3B Instruct","zero-shot","1","8"
"130","30","Qwen 2.5 3B Instruct","zero-shot","1","16"
"131","31","Qwen 2.5 3B Instruct","zero-shot","1","17"
"132","32","Qwen 2.5 3B Instruct","zero-shot","1","12"
"133","33","Qwen 2.5 3B Instruct","zero-shot","1","14"
"134","34","Qwen 2.5 3B Instruct","zero-shot","1","13"
"135","35","Qwen 2.5 3B Instruct","zero-shot","1","9"
"136","36","Qwen 2.5 3B Instruct","zero-shot","1","18"
