experiment_id,transcript_id,model_name,technique_name,name_original,name_en,hallucination_flag
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","NO"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","NO"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","NO"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","NO"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","NO"
"4","4","Llama 3.2 3B Instruct","zero-shot","Minyak","Oil","NO"
"6","6","Llama 3.2 3B Instruct","zero-shot","Nasi Lemak","","NO"
"6","6","Llama 3.2 3B Instruct","zero-shot","Peanut Sauce","","NO"
"6","6","Llama 3.2 3B Instruct","zero-shot","Shrimp","","NO"
"6","6","Llama 3.2 3B Instruct","zero-shot","Lemak","","NO"
"6","6","Llama 3.2 3B Instruct","zero-shot","Sambal","","NO"
"12","12","Llama 3.2 3B Instruct","zero-shot","Nasi lemak","coconut milk rice","NO"
"12","12","Llama 3.2 3B Instruct","zero-shot","Gula melaka","jaggery","NO"
"12","12","Llama 3.2 3B Instruct","zero-shot","Kacang polong","pigeon peas","NO"
"12","12","Llama 3.2 3B Instruct","zero-shot","Ayam goreng","fried chicken","NO"
"12","12","Llama 3.2 3B Instruct","zero-shot","Sambal kacang","peanut sauce","NO"
"13","13","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic","NO"
"13","13","Llama 3.2 3B Instruct","zero-shot","Daun Salam","Palm Leaves (Betel Leaves)","NO"
"13","13","Llama 3.2 3B Instruct","zero-shot","Gula Melaka","Sweet Palm Sugar","NO"
"13","13","Llama 3.2 3B Instruct","zero-shot","Jeruk Manis","Sweet Lime","NO"
"13","13","Llama 3.2 3B Instruct","zero-shot","Kecap Manis","Sweet Soy Sauce","NO"
"13","13","Llama 3.2 3B Instruct","zero-shot","Ketul Bawang","Garlic Clove","NO"
"13","13","Llama 3.2 3B Instruct","zero-shot","Minyak Teriyaki","Teriyaki Sauce","NO"
"13","13","Llama 3.2 3B Instruct","zero-shot","Padi Putih","White Rice","NO"
"14","14","Llama 3.2 3B Instruct","zero-shot","","","NO"
"14","14","Llama 3.2 3B Instruct","zero-shot","","","NO"
"14","14","Llama 3.2 3B Instruct","zero-shot","","","NO"
"14","14","Llama 3.2 3B Instruct","zero-shot","","","NO"
"14","14","Llama 3.2 3B Instruct","zero-shot","","","NO"
