experiment_id,transcript_id,model_name,technique_name,name_original,name_en,name_original,name_en
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","kentang","Potatoes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","mentega (butter)","Butter"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","serbuk lada putih","White pepper powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","keju parmesan","Parmesan cheese"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","susu","Milk"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","minyak","Cooking oil"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","bawang putih","Garlic"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","daging kisar","Minced beef"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","sos bolognese pasta","Bolognese pasta sauce"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","serbuk pasli","Dried parsley flakes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","serbuk bawang putih (gari)","Garlic powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","serbuk perasa","Seasoning powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Nasi","Rice","keju pizza (mozzarella)","Pizza cheese topping"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","kentang","Potatoes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","mentega (butter)","Butter"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","serbuk lada putih","White pepper powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","keju parmesan","Parmesan cheese"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","susu","Milk"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","minyak","Cooking oil"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","bawang putih","Garlic"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","daging kisar","Minced beef"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","sos bolognese pasta","Bolognese pasta sauce"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","serbuk pasli","Dried parsley flakes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","serbuk bawang putih (gari)","Garlic powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","serbuk perasa","Seasoning powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Daging","Meat","keju pizza (mozzarella)","Pizza cheese topping"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","kentang","Potatoes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","mentega (butter)","Butter"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","serbuk lada putih","White pepper powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","keju parmesan","Parmesan cheese"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","susu","Milk"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","minyak","Cooking oil"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","bawang putih","Garlic"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","daging kisar","Minced beef"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","sos bolognese pasta","Bolognese pasta sauce"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","serbuk pasli","Dried parsley flakes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","serbuk bawang putih (gari)","Garlic powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","serbuk perasa","Seasoning powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang","Garlic","keju pizza (mozzarella)","Pizza cheese topping"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","kentang","Potatoes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","mentega (butter)","Butter"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","serbuk lada putih","White pepper powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","keju parmesan","Parmesan cheese"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","susu","Milk"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","minyak","Cooking oil"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","bawang putih","Garlic"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","daging kisar","Minced beef"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","sos bolognese pasta","Bolognese pasta sauce"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","serbuk pasli","Dried parsley flakes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","serbuk bawang putih (gari)","Garlic powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","serbuk perasa","Seasoning powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Sambal","Chili Sauce","keju pizza (mozzarella)","Pizza cheese topping"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","kentang","Potatoes"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","mentega (butter)","Butter"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","serbuk lada putih","White pepper powder"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","keju parmesan","Parmesan cheese"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","susu","Milk"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","garam","Salt"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","minyak","Cooking oil"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","bawang putih","Garlic"
"4","4","Llama 3.2 3B Instruct","zero-shot","Bawang Putih","Garlic Cloves","daging kisar","Minced beef"
