experiment_id,transcript_id,model_name,technique_name,name_en,quantity_value,estimated_weight_g,quantity_value_culinary,estimated_weight_g
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0","3.5","525.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0","3.0","45.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0","0.33","79.2"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0","1.0","5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0","3.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0","1.0","50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0","1.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Rice","2.0","400.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0","3.5","525.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0","3.0","45.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0","0.33","79.2"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0","1.0","5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0","3.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0","1.0","50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0","1.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Meat","0.0","200.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0","3.5","525.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0","3.0","45.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0","0.33","79.2"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0","1.0","5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0","3.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0","1.0","50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0","1.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic","3.0","15.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0","3.5","525.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0","3.0","45.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0","0.33","79.2"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0","1.0","5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0","3.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0","1.0","50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0","1.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Chili Sauce","2.0","50.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0","3.5","525.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0","3.0","45.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0","0.33","79.2"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0","1.0","5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0","3.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0","1.0","50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0","1.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Garlic Cloves","3.0","10.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0","3.5","525.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0","3.0","45.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0",,"50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0","0.33","79.2"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0","1.0","5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0","3.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0","1.0","50.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0",,"15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0","1.0","15.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0",,"5.0"
"4","4","Llama 3.2 3B Instruct","zero-shot","Oil","0.0","10.0",,"50.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","250.0",,"20.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","250.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","250.0","1.0","15.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","250.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","250.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","250.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","250.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","250.0",,"5.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","120.0",,"20.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","120.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","120.0","1.0","15.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","120.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","120.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","120.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","120.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","120.0",,"5.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","120.0",,"20.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","120.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","120.0","1.0","15.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","120.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","120.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","120.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","120.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","1.0","120.0",,"5.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","30.0",,"20.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","30.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","30.0","1.0","15.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","30.0","0.33","79.2"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","30.0","2.0","30.0"
"6","6","Llama 3.2 3B Instruct","zero-shot","","0.0","30.0","0.33","79.2"
